#STIG ID,Legacy Group ID,Legacy Rule ID,Old Rule ID,New Group ID,New Rule ID
PGS9-00-000100,V-72841,SV-87493,SV-87493r2_rule,V-214048,SV-214048r508027_rule
PGS9-00-000200,V-72843,SV-87495,SV-87495r3_rule,V-214049,SV-214049r508027_rule
PGS9-00-000300,V-72845,SV-87497,SV-87497r1_rule,V-214050,SV-214050r508027_rule
PGS9-00-000400,V-72847,SV-87499,SV-87499r2_rule,V-214051,SV-214051r508027_rule
PGS9-00-000500,V-72849,SV-87501,SV-87501r1_rule,V-214052,SV-214052r508027_rule
PGS9-00-000600,V-72851,SV-87503,SV-87503r3_rule,V-214053,SV-214053r508027_rule
PGS9-00-000700,V-72853,SV-87505,SV-87505r2_rule,V-214054,SV-214054r508027_rule
PGS9-00-000710,V-72855,SV-87507,SV-87507r1_rule,V-214055,SV-214055r508027_rule
PGS9-00-000800,V-72857,SV-87509,SV-87509r1_rule,V-214056,SV-214056r508027_rule
PGS9-00-000900,V-72859,SV-87511,SV-87511r2_rule,V-214057,SV-214057r508027_rule
PGS9-00-001100,V-72861,SV-87513,SV-87513r1_rule,V-214058,SV-214058r508027_rule
PGS9-00-001200,V-72863,SV-87515,SV-87515r2_rule,V-214059,SV-214059r508027_rule
PGS9-00-001300,V-72865,SV-87517,SV-87517r1_rule,V-214060,SV-214060r508027_rule
PGS9-00-001400,V-72867,SV-87519,SV-87519r1_rule,V-214061,SV-214061r508027_rule
PGS9-00-001700,V-72869,SV-87521,SV-87521r1_rule,V-214062,SV-214062r508027_rule
PGS9-00-001800,V-72871,SV-87523,SV-87523r1_rule,V-214063,SV-214063r508027_rule
PGS9-00-001900,V-72873,SV-87525,SV-87525r1_rule,V-214064,SV-214064r508027_rule
PGS9-00-002000,V-72875,SV-87527,SV-87527r1_rule,V-214065,SV-214065r508027_rule
PGS9-00-002100,V-72877,SV-87529,SV-87529r1_rule,V-214066,SV-214066r508027_rule
PGS9-00-002200,V-72883,SV-87535,SV-87535r1_rule,V-214067,SV-214067r508027_rule
PGS9-00-002300,V-72885,SV-87537,SV-87537r3_rule,V-214068,SV-214068r508027_rule
PGS9-00-002400,V-72887,SV-87539,SV-87539r2_rule,V-214069,SV-214069r508027_rule
PGS9-00-002500,V-72889,SV-87541,SV-87541r2_rule,V-214070,SV-214070r548749_rule
PGS9-00-002600,V-72891,SV-87543,SV-87543r1_rule,V-214071,SV-214071r508027_rule
PGS9-00-002700,V-72893,SV-87545,SV-87545r2_rule,V-214072,SV-214072r508027_rule
PGS9-00-003000,V-72895,SV-87547,SV-87547r1_rule,V-214073,SV-214073r548754_rule
PGS9-00-003100,V-72897,SV-87549,SV-87549r2_rule,V-214074,SV-214074r508027_rule
PGS9-00-003200,V-72899,SV-87551,SV-87551r1_rule,V-214075,SV-214075r508027_rule
PGS9-00-003300,V-72901,SV-87553,SV-87553r2_rule,V-214076,SV-214076r508027_rule
PGS9-00-003500,V-72903,SV-87555,SV-87555r1_rule,V-214077,SV-214077r508027_rule
PGS9-00-003600,V-72905,SV-87557,SV-87557r2_rule,V-214078,SV-214078r508027_rule
PGS9-00-003700,V-72907,SV-87559,SV-87559r2_rule,V-214079,SV-214079r508027_rule
PGS9-00-003800,V-72909,SV-87561,SV-87561r2_rule,V-214080,SV-214080r508027_rule
PGS9-00-004000,V-72911,SV-87563,SV-87563r1_rule,V-214081,SV-214081r508027_rule
PGS9-00-004100,V-72913,SV-87565,SV-87565r1_rule,V-214082,SV-214082r508027_rule
PGS9-00-004200,V-72915,SV-87567,SV-87567r2_rule,V-214083,SV-214083r508027_rule
PGS9-00-004300,V-72917,SV-87569,SV-87569r1_rule,V-214084,SV-214084r508027_rule
PGS9-00-004400,V-72919,SV-87571,SV-87571r2_rule,V-214085,SV-214085r508027_rule
PGS9-00-004500,V-72921,SV-87573,SV-87573r1_rule,V-214086,SV-214086r508027_rule
PGS9-00-004600,V-72923,SV-87575,SV-87575r2_rule,V-214087,SV-214087r508027_rule
PGS9-00-004700,V-72925,SV-87577,SV-87577r2_rule,V-214088,SV-214088r508027_rule
PGS9-00-004800,V-72927,SV-87579,SV-87579r1_rule,V-214089,SV-214089r508027_rule
PGS9-00-004900,V-72929,SV-87581,SV-87581r2_rule,V-214090,SV-214090r508027_rule
PGS9-00-005000,V-72931,SV-87583,SV-87583r2_rule,V-214091,SV-214091r508027_rule
PGS9-00-005100,V-72933,SV-87585,SV-87585r2_rule,V-214092,SV-214092r508027_rule
PGS9-00-005200,V-72939,SV-87591,SV-87591r2_rule,V-214093,SV-214093r508027_rule
PGS9-00-005300,V-72941,SV-87593,SV-87593r1_rule,V-214094,SV-214094r508027_rule
PGS9-00-005400,V-72945,SV-87597,SV-87597r2_rule,V-214095,SV-214095r508027_rule
PGS9-00-005500,V-72947,SV-87599,SV-87599r2_rule,V-214096,SV-214096r508027_rule
PGS9-00-005600,V-72949,SV-87601,SV-87601r2_rule,V-214097,SV-214097r508027_rule
PGS9-00-005700,V-72951,SV-87603,SV-87603r2_rule,V-214098,SV-214098r508027_rule
PGS9-00-005800,V-72953,SV-87605,SV-87605r2_rule,V-214099,SV-214099r508027_rule
PGS9-00-005900,V-72955,SV-87607,SV-87607r2_rule,V-214100,SV-214100r508027_rule
PGS9-00-006000,V-72957,SV-87609,SV-87609r2_rule,V-214101,SV-214101r508027_rule
PGS9-00-006100,V-72959,SV-87611,SV-87611r2_rule,V-214102,SV-214102r508027_rule
PGS9-00-006200,V-72961,SV-87613,SV-87613r2_rule,V-214103,SV-214103r508027_rule
PGS9-00-006300,V-72963,SV-87615,SV-87615r2_rule,V-214104,SV-214104r508027_rule
PGS9-00-006400,V-72965,SV-87617,SV-87617r2_rule,V-214105,SV-214105r508027_rule
PGS9-00-006500,V-72969,SV-87621,SV-87621r1_rule,V-214106,SV-214106r508027_rule
PGS9-00-006600,V-72971,SV-87623,SV-87623r2_rule,V-214107,SV-214107r508027_rule
PGS9-00-006700,V-72973,SV-87625,SV-87625r2_rule,V-214108,SV-214108r508027_rule
PGS9-00-006800,V-72975,SV-87627,SV-87627r2_rule,V-214109,SV-214109r508027_rule
PGS9-00-006900,V-72977,SV-87629,SV-87629r2_rule,V-214110,SV-214110r508027_rule
PGS9-00-007000,V-72979,SV-87631,SV-87631r2_rule,V-214111,SV-214111r508027_rule
PGS9-00-007100,V-73123,SV-87775,SV-87775r1_rule,V-214112,SV-214112r508027_rule
PGS9-00-007200,V-72981,SV-87633,SV-87633r2_rule,V-214113,SV-214113r548752_rule
PGS9-00-007400,V-72983,SV-87635,SV-87635r1_rule,V-214114,SV-214114r508027_rule
PGS9-00-007700,V-72985,SV-87637,SV-87637r2_rule,V-214115,SV-214115r508027_rule
PGS9-00-007800,V-72987,SV-87639,SV-87639r2_rule,V-214116,SV-214116r508027_rule
PGS9-00-008000,V-72989,SV-87641,SV-87641r1_rule,V-214117,SV-214117r508027_rule
PGS9-00-008100,V-72991,SV-87643,SV-87643r2_rule,V-220321,SV-220321r508027_rule
PGS9-00-008200,V-72993,SV-87645,SV-87645r1_rule,V-214119,SV-214119r508027_rule
PGS9-00-008300,V-72995,SV-87647,SV-87647r2_rule,V-214120,SV-214120r508027_rule
PGS9-00-008400,V-72997,SV-87649,SV-87649r1_rule,V-214121,SV-214121r508027_rule
PGS9-00-008500,V-72999,SV-87651,SV-87651r1_rule,V-214122,SV-214122r508027_rule
PGS9-00-008600,V-73001,SV-87653,SV-87653r2_rule,V-214123,SV-214123r508027_rule
PGS9-00-008700,V-73003,SV-87655,SV-87655r1_rule,V-214124,SV-214124r508027_rule
PGS9-00-008800,V-73005,SV-87657,SV-87657r2_rule,V-214125,SV-214125r508027_rule
PGS9-00-008900,V-73007,SV-87659,SV-87659r2_rule,V-214126,SV-214126r508027_rule
PGS9-00-009100,V-73009,SV-87661,SV-87661r1_rule,V-214127,SV-214127r508027_rule
PGS9-00-009200,V-73011,SV-87663,SV-87663r2_rule,V-214128,SV-214128r508027_rule
PGS9-00-009400,V-73013,SV-87665,SV-87665r1_rule,V-214129,SV-214129r508027_rule
PGS9-00-009500,V-73015,SV-87667,SV-87667r2_rule,V-214130,SV-214130r508027_rule
PGS9-00-009600,V-73017,SV-87669,SV-87669r2_rule,V-214131,SV-214131r508027_rule
PGS9-00-009700,V-73019,SV-87671,SV-87671r2_rule,V-214132,SV-214132r508027_rule
PGS9-00-009900,V-73023,SV-87675,SV-87675r2_rule,V-214133,SV-214133r508027_rule
PGS9-00-010000,V-73025,SV-87677,SV-87677r2_rule,V-214134,SV-214134r508027_rule
PGS9-00-010100,V-73027,SV-87679,SV-87679r1_rule,V-214135,SV-214135r508027_rule
PGS9-00-010200,V-73029,SV-87681,SV-87681r2_rule,V-214136,SV-214136r508027_rule
PGS9-00-010300,V-73031,SV-87683,SV-87683r1_rule,V-214137,SV-214137r508027_rule
PGS9-00-010400,V-73033,SV-87685,SV-87685r2_rule,V-214138,SV-214138r508027_rule
PGS9-00-010500,V-73035,SV-87687,SV-87687r1_rule,V-214139,SV-214139r508027_rule
PGS9-00-010600,V-73037,SV-87689,SV-87689r2_rule,V-214140,SV-214140r508027_rule
PGS9-00-010700,V-73039,SV-87691,SV-87691r2_rule,V-214141,SV-214141r508027_rule
PGS9-00-011100,V-73041,SV-87693,SV-87693r2_rule,V-214142,SV-214142r508027_rule
PGS9-00-011200,V-73043,SV-87695,SV-87695r2_rule,V-214143,SV-214143r508027_rule
PGS9-00-011300,V-73045,SV-87697,SV-87697r2_rule,V-214144,SV-214144r508027_rule
PGS9-00-011400,V-73047,SV-87699,SV-87699r2_rule,V-214145,SV-214145r508027_rule
PGS9-00-011500,V-73049,SV-87701,SV-87701r1_rule,V-214146,SV-214146r508027_rule
PGS9-00-011600,V-73051,SV-87703,SV-87703r2_rule,V-214147,SV-214147r508027_rule
PGS9-00-011700,V-73053,SV-87705,SV-87705r1_rule,V-214148,SV-214148r508027_rule
PGS9-00-011800,V-73055,SV-87707,SV-87707r1_rule,V-214149,SV-214149r508027_rule
PGS9-00-011900,V-73057,SV-87709,SV-87709r2_rule,V-214150,SV-214150r508027_rule
PGS9-00-012000,V-73059,SV-87711,SV-87711r2_rule,V-214151,SV-214151r508027_rule
PGS9-00-012200,V-73061,SV-87713,SV-87713r1_rule,V-214152,SV-214152r508027_rule
PGS9-00-012300,V-73063,SV-87715,SV-87715r1_rule,V-214153,SV-214153r508027_rule
PGS9-00-012500,V-73065,SV-87717,SV-87717r2_rule,V-214154,SV-214154r508027_rule
PGS9-00-012600,V-73067,SV-87719,SV-87719r3_rule,V-214155,SV-214155r508027_rule
PGS9-00-012700,V-73069,SV-87721,SV-87721r2_rule,V-214156,SV-214156r508027_rule
PGS9-00-012800,V-73071,SV-87723,SV-87723r3_rule,V-214157,SV-214157r508027_rule
